城市,区县,2020占比_无约束,2020占比_约束,2020_CCG,2020_CEADs,2020_均值,2020_差值,2020_SMAPE,2020_差异水平
四川阿坝,理县,0.03448729335105786,0.03250576248388396,6.598669784228444,21.511101657956495,14.05488572109247,14.91243187372805,1.0610140964254617,15.82230043000982
四川阿坝,茂县,0.10058796948685708,0.09480850270250767,19.246126048609057,75.98229275220919,47.61420940040912,56.736166703600134,1.191580568449229,67.60571377230607
四川阿坝,松潘县,0.17227107216911994,0.1623729208833861,32.961702939327374,112.55919992694012,72.76045143313375,79.59749698761274,1.0939665081759722,87.07699583908618
四川阿坝,九寨沟县,0.2537843342921978,0.23920268861516056,48.558145788877596,181.94410371195238,115.25112475041499,133.38595792307478,1.1573505960304695,154.37431790436574
四川阿坝,金川县,0.032961561601229386,0.03106769445780839,6.306741974935103,21.07144761424343,13.689094794589266,14.764705639308325,1.0785742856528544,15.924831837791645
四川阿坝,小金县,0.023158528991502732,0.021827913116029957,4.431066362554081,13.215183083678054,8.823124723116068,8.784116721123972,0.9955788903346342,8.74528117778651
四川阿坝,黑水县,0.0384436906371184,0.036234837687421854,7.355672050546636,27.88647261299839,17.621072331772513,20.530800562451752,1.1651277615740057,23.921005702651748
四川阿坝,马尔康县,0.06932726349382733,0.0653439380657823,13.264819427353807,44.467031553809534,28.86592549058167,31.202212126455727,1.0809357952730925,33.72758797919015
四川阿坝,壤塘县,0.008018332044059802,0.0075576240294638495,1.5341976779811615,4.434900151574342,2.984548914777752,2.9007024735931806,0.9719064945562083,2.8192115728604703
四川阿坝,阿坝县,0.042956460126963324,0.04048831770651757,8.219128494423067,33.42844192051109,20.82378520746708,25.209313426088023,1.2106018754480987,30.5184421123811
四川阿坝,若尔盖县,0.05811483266693797,0.05477573807351864,11.119474828924284,38.48048042683893,24.799977627881606,27.361005597914648,1.1032673500138073,30.186504139724242
四川阿坝,红原县,0.050282972319312,0.04739387166621853,9.620955948242361,32.241146502345075,20.931051225293718,22.620190554102713,1.0807001669733525,24.44564370878785
四川甘孜,康定县,0.2728306209087345,0.260346101671761,29.41910948890899,188.14253300078235,108.78082124484567,158.72342351187336,1.4591122009882245,231.59528382879563
四川甘孜,泸定县,0.11631700327420122,0.11099442672422648,12.542370219837592,82.00838385272388,47.27537703628074,69.46601363288629,1.4693910019919185,102.07273537641106
四川甘孜,丹巴县,0.02046808665762384,0.0195314827648129,2.2070575524238576,16.229052417151028,9.218054984787443,14.02199486472717,1.5211446327742315,21.32948222926757
