城市,县,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
安徽淮南,凤台县,196.85430905624,183.560117113444,187.03895177986502,196.182715815912,187.245451015082,202.38817839763698,235.051594679637,258.775117159025,307.333482800234,391.15602935982497,432.06775658685405,450.191048455181,490.322166189437,533.476885811266,576.786741300544,580.45693720906,568.892207836324,579.831559716098,520.100372459456,529.997099553273,518.299508991529
安徽马鞍山,金家庄区,106.294965283576,98.5327882536416,99.8846758196135,104.74814663867001,99.68739082842299,106.223690153964,120.61802791238901,130.95768547750498,149.609960098651,163.555434361246,165.357179984872,171.924042891692,187.249767448658,200.546784947786,212.68064676409,213.473533204255,209.11609758390298,209.978946712922,195.843838937528,195.71330399565602,185.770644495317
安徽马鞍山,花山区,66.3103955227939,62.6853909125046,63.66948610980619,66.7696081777656,63.5960875663119,70.34031243714671,80.2297102298314,89.1559012512365,108.137769086849,119.0132756907,126.17808304207301,142.316199907287,155.002609807194,165.768117207222,180.77314169777,181.519451187073,177.920612607833,173.306326367453,155.909641043246,155.188880202488,149.545320383492
安徽马鞍山,雨山区,140.14245554902,130.489368227796,132.077898540886,138.508885077359,131.85193237197802,152.49972398804098,179.791120433762,204.639872371713,235.13827925694702,259.777738012948,265.86619951269796,279.551764036185,304.471683687746,329.53042659754004,364.863221775316,366.47677076784004,359.31526786072897,375.040274541406,342.546925960689,344.831160003009,326.241465212587
安徽马鞍山,当涂县,283.540556927883,262.275675577919,265.58971574725,279.218361470656,266.426419535488,299.182524587811,352.346000616066,388.731562295782,445.806673848364,490.048052300929,511.69251610637804,573.1774731596311,624.3036998615149,706.724286403556,808.1071396118521,829.6119255310281,819.271424184028,828.965485901461,778.994768390502,803.0349330752649,771.46652387636
安徽淮北,杜集区,102.365737557902,95.7486922710449,100.968858225219,105.94013360147001,100.85669320683802,110.021363066688,125.83485227972,137.10166029573801,162.374609544028,191.770151903976,213.064485529443,221.825229933455,241.631068796688,258.579224667378,282.588728485665,284.04030549588,278.52605165565797,286.749711280178,261.758543284625,268.466262534952,267.375049847274
安徽淮北,相山区,88.05212227152029,82.2086478339439,85.4755419128625,92.4615117913469,88.4481261761988,94.6083686111426,110.563019656003,120.399150975062,139.765159615476,160.801408146916,167.496268611059,173.763583432143,189.253289077269,205.30632892010198,218.23291318241,221.39872455392901,216.879519413175,212.504138549332,195.366150684626,195.663252838992,189.056765930452
安徽淮北,烈山区,108.27828975463001,103.720544742952,106.44223069222501,112.303510156725,107.715437008583,114.393318224751,129.957826376481,140.833556111256,162.917236342313,184.43544943519902,187.564297433053,194.90370011923298,212.27788684099698,226.99625073679698,242.713360572276,247.779840964491,246.940623117387,291.349788872985,295.48688162375004,310.05114180747,312.793639374765
安徽淮北,濉溪县,216.163656736692,205.36598689018,212.42980424661502,225.96405162494602,217.507694659425,232.65841029711,267.86710279671604,294.523948416221,354.593692993746,414.199922173609,494.43907758199896,527.480950210328,574.7562919666419,621.29047210049,675.321443386704,683.629177108251,673.3970825061571,681.260048722213,631.5805640647781,647.22987417227,623.2862989410289
安徽铜陵,铜官山区,48.8533980558733,45.669549627565395,46.3050808071318,48.559715038375,46.2136223588348,49.0548188921687,55.7232570526543,60.4385078415733,68.6293702974123,74.9207539531068,75.5436035879823,78.37026683446,85.35638176497909,91.6212214670764,97.1646623206005,97.56308620421599,95.5716221539586,96.3126869034389,89.1087702189736,92.0867063532534,87.7652478270172
